Country,YEAR,REGION,TARGET,TEXT,ALIGNED,NOT_ALIGNED,NEUTRAL_IRRELEVANT,BORDER_CASE,EXPLANATION
EU,2016,ECA,CHINA," “The EU will deepen trade and investment with China, seeking a level playing field, intellectual property rights protection, greater cooperation on high-end technology, dialogue on economic reform, human rights and climate action.” 
A Stronger Europe 
",X,,,,EU will deepen cooperation with China
Lithuania,2022,ECA,CHINA," some of the biggest global spenders on space programs, China and Russia ini­tiated joint resolutions on space legislation in favour of their developed and deployed space capabilities. 

",,,X,,Includes neutral language without any normative statements made about the target country or entity
Netherlands,2013,ECA,CHINA," A shift in the global balance can also be seen where military spending is concerned. The NATO countries still account for a large majority of global defence spending. However, Western countries have shrinking defence budgets, while defence spending in emerging economies like China and Russia is on the increase.
The international arena is changing at an unprecedented rate, raising new issues and broadening the international security agenda. This International Security Strategy identifies the implications of this changing playing field for the Netherlands, and for its security and other interests.
",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
Denmark,2016,ECA,CHINA,"With an increase of around 25% draw India and China accounted for
opponents from start to finish. Preparation of this report recommendations and conclusions",,,X,,Not enough info
UK,2005,ECA,CHINA,"A5.8 A recent MOD-sponsored study  analysing 11 major defence capable nations has uncovered a highly signi.cant correlation between equipment capability and R&T5  investment in the last 5-30 years as shown in Figure A5(i). It shows that there is a simple ‘you get what you pay for’ relationship between R&T spend and equipment quality, with a sharp law of diminishing returns, and that R&T investment buys a time advantage over open market equipment.  The UK is currently in a relatively good position, re.ecting a high R&T expenditure in the past but the gap with the USA is growing, which may a.ect UK/US interoperability.  China is expected to grow rapidly to an estimated R&T expenditure level equivalent to the UK by around 2020. 
Defence White Paper",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
USA,2006,NA,CHINA,"China and Taiwan must also resolve their differences peacefully, without coercion and without unilateral action by either China or Taiwan. 
VI. 	Ignite a New Era of Global Economic Growth through Free Markets and Free Trade... 25",,,X,,Includes neutral language without any normative statements made about the target country or entity
USA,1950,NA,CHINA,"Several conclusions seem to emerge. First, the Soviet Union is widening the gap between its preparedness for war and the unpreparedness of the free world for war. It is devoting a far greater proportion of its resources to military purposes than are the free nations and, in significant components of military power, a greater absolute quantity of resources. Second, the Communist success in China, taken with the politico-economic situation in the rest of South and South-East Asia, provides a springboard for a further incursion in this troubled area. Although Communist China faces serious economic problems which may impose some strains on the Soviet economy, it is probable that the social and economic problems faced by the free nations in this area present more than offsetting opportunities for Communist expansion. Third, the Soviet Union holds positions in Europe which, if it maneuvers skillfully, could be used to do great damage to the Western European economy and to the maintenance of the Western orientation of certain countries, particularly Germany and Austria. Fourth, despite (and in part because of) the Titoist defection, the Soviet Union has accelerated its efforts to integrate satellite economy with its own and to increase the degree of autarchy within the areas under its control.
Scanned version of NSC-68 also available via www.airforce-magazine.com",,X,,,China as a threat for expansion of communism in the Asian region
USA,2006,NA,CHINA,"Continuing China’s military expansion in a non-transparent way; 
V. 	Prevent Our Enemies from Threatening Us, Our Allies, and Our Friends with Weapons of Mass Destruction ......................................................................................................... 18",,X,,,"Even if the text is fragmented I would put not aligned since there is a critique to China: ""Continuing China’s military expansion in a non-transparent way"""
USA,2017,NA,CHINA," China has mounted a rapid military modernization
and inadequate investment in our own defense had invited danger from those who wish us harm. Too many
",,X,,,"China as one of ""those who wish us harm""?"
USA,2015,NA,CHINA," gain whether by private actors or the Chinese government.
Any successful strategy to ensure the safety of the American people and advance our national security interests must begin with an undeniable truth—America must lead. Strong and sustained American leadership is essential to a rules-based international order that promotes global security and prosperity as well as the dignity and human rights of all peoples. The question is never whether America should lead, but how we lead.
",,,X,,Not enough info
USA,2021,NA,CHINA," effective international rules, and hold countries like China to account. That is why we will 
Our world is at an inflection point. Global dynamics have shifted. New crises demand our 
",,,X,,Not enough info
USA,2006,NA,CHINA,"Ultimately, China’s leaders must see that they cannot let their population increasingly experience the freedoms to buy, sell, and produce, while denying them the rights to assemble, speak, and worship.  Only by allowing the Chinese people to enjoy these basic freedoms and universal rights can China honor its own constitution and international commitments and reach its full potential.  Our strategy seeks to encourage China to make the right strategic choices for its people, while we hedge against other possibilities. 
VII. 	Expand the Circle of Development by Opening Societies and Building the Infrastructure of Democracy ................................................................................................................... 31",X,,,,Openness to cooperate
USA,2006,NA,CHINA," China’s leaders proclaim that they have made a decision to walk the transformative path of peaceful development.  If China keeps this commitment, the United States will welcome the emergence of a China that is peaceful and prosperous and that cooperates with us to address common challenges and mutual interests.  China can make an important contribution to global prosperity and ensure its own prosperity for the longer term if it will rely more on domestic demand and less on global trade imbalances to drive its economic growth.  China shares our exposure to the challenges of globalization and other transnational concerns.  Mutual interests can guide our cooperation on issues such as terrorism, proliferation, and energy security.  We will work to increase our cooperation to combat disease pandemics and reverse environmental degradation.   

",X,,,,Increase cooperation with a peaceful China
USA,2012,NA,CHINA," The maintenance of peace, stability, the free flow of commerce, and of U.S. influence in this dynamic region will depend in part on an underlying balance of military capability and presence. Over the long term, China.’s emergence as a regional power will have the potential to affect the U.S. economy and our security in a variety of ways. Our two countries have a strong stake in peace and stability in East Asia and an interest in building a cooperative bilateral relationship.  However, the growth of China.’s military power must be accompanied by greater clarity of its strategic intentions in order to avoid causing friction in the region. The United States will continue to make the necessary investments to ensure that we maintain regional access and the ability to operate freely in keeping with our treaty obligations and with international law.Working closely with our network of allies and partners, we will continue to promote a rules-based international order that ensures underlying stability and encourages the peaceful rise of new powers, economic dynamism, and constructive defense cooperation. 

",X,,,,Desire to cooperate
USA,2001,NA,CHINA," systems that promote strong, global prosperity. The U.S. - China Bilateral WTO 
This is not an official copy. If you spot a scanning error we missed, please tell us. 
",,,X,,Not enough info
USA,2015,NA,CHINA,"The United States welcomes the rise of a stable, peaceful, and prosperous China. We seek to develop a
America’s growing economic strength is the foundation of our national security and a critical source of our influence abroad. Since the Great Recession, we have created nearly 11 million new jobs during the longest private sector job growth in our history. Unemployment has fallen to its lowest level in 6 years. We are now the world leader in oil and gas production. We continue to set the pace for science, technology, and innovation in the global economy.",X,,,,"The United States welcomes the rise of a stable, peaceful, and prosperous China"
USA,1953,NA,CHINA,"13. a. Under existing treaties or policies, an attack on the NATO countries, Western Germany, Berlin, Japan, the Philippines, Australia, New Zealand, and the American Republics, or on the Republic of Korea, would involve the United States in war with the USSR, or at least with Communist China if the aggression were Chinese alone.
Document 18, Statement of Policy by the National Security Council on Basic National Security Policy, 30 October 1953, pp. 412-429",,X,,,Russia and China as possible threats
Canada,2005,NA,CHINA," A number of long-standing “hot spots” persist around the globe. Although they are unlikely to erupt into major regional wars in the near future, the possibility cannot be discounted. North Korea’s nuclear brinkmanship and ongoing tensions between Taiwan and China remain serious concerns in the region. Despite recent positive developments, the confrontation between India and Pakistan has not yet been resolved. The situation in the Middle East, whether in the form of the Israeli-Palestinian dispute, instability in Iraq, or Iran’s nuclear ambitions, continues to have a significant impact on international security. 

",,,X,,Includes neutral language without any normative statements made about the target country or entity
USA,1999,NA,CHINA," An important part of integrating China into the market-based world economic system is opening China’shighly protected market through elimination of trade barriers and removal of distorting restraints on economic activity. We have negotiated and vigorously enforced landmark agreements to combat piracy of intellectual property and advance the interests of our creative industries. We have also negotiated – and vigorously enforced – agreements on textile trade. We will continue to press China to open its markets as it engages in sweeping economic reform and to respect and adhere to core labor standards as codified by the ILO. Most recently, we reached agreement to bring China into the World Trade Organization on fair commercial terms – a landmark accord that will create jobs and opportunities for Americans through opening of Chinese markets, promote economic reform in China, and help spread the message and the tools of freedom to the Chinese people. 
st 
",X,,,,"""we reached agreement to bring China into the World Trade Organization on fair commercial terms – a landmark accord that will create jobs and opportunities for Americans through opening of Chinese markets, promote economic reform in China, and help spread the message and the tools of freedom to the Chinese people."""
USA,2006,NA,CHINA," Worked with other nations that serve as regional and global engines of growth – such as India, China, the ROK, Brazil, and Russia – on reforms to open markets and ensure financial stability; 

",X,,,,Cooperation with China among others
USA,2006,NA,CHINA," Joined with Australia, China, India, Japan, and the ROK in forming the Asia-Pacific Partnership for Clean Development and Climate to accelerate deployment of clean technologies to enhance energy security, reduce poverty, and reduce pollution. 

",X,,,,Cooperation 
Canada,2005,NA,CHINA," To ensure continued prosperity and security, Canada needs a more expansive partnership with both the United States and Mexico that continues to reflect the unique circumstances of our continent, and the desire of each country to preserve and promote its particular social, economic and political achievements. We must also move forward based on an understanding that North America is not an island. Its future will be increasingly affected by the role of new emerging giants, China, India and the expanding European Union. 

",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
USA,2021,NA,CHINA," Chinese aggression and counter threats to our collective security, prosperity, and democratic 
That begins with the revitalization of our most fundamental advantage: our democracy. I 
",,X,,,"""Chinese aggression and counter threats"""
USA,2010,NA,CHINA," More actors exert power and influence. Europe is now more united, free, and at peace than ever before. The European Union has deepened its integration. Russia has reemerged in the international arena as a strong voice. China and India—the world’s two most populous nations—are becoming more engaged globally. From Latin America to Africa to the Pacific, new and emerging powers hold out opportunities for partnership, even as a handful of states endanger regional and global security by flouting international norms. International institutions play a critical role in facilitating cooperation, but at times cannot effectively address new threats or seize new opportunities. Meanwhile, individuals, corporations, and civil society play an increasingly important role in shaping events around the world.
STR ATEGY
",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
USA,2022,NA,CHINA," In the contest for the future of our world, my Administration is clear-eyed about the scope and seriousness of this challenge. The People’s Republic of China harbors the intention and, increasingly, the capacity to reshape the international order in favor of one that tilts the global playing field to its benefit, even as the United States remains committed to managing the competition between our countries responsibly.  Russia’s brutal and unprovoked war on its neighbor Ukraine has shattered peace in Europe and impacted stability everywhere, and its reckless nuclear threats endanger the global non-proliferation regime.  Autocrats are working overtime to undermine democracy and export a model of governance marked by repression at home and coercion abroad.   

",,X,,,"""Competition"" between US and China - Competitor"
USA,1999,NA,CHINA," China: A stable, open, prosperous Peoples Republic of China (PRC) that respects international norms and assumes its responsibilities for building a more peaceful world is clearly and profoundly in our interests. The prospects for peace and prosperity in Asia depend heavily on China’s role as a responsible member of the international community. Our policy toward China is both principled and pragmatic, expanding our areas of cooperation while dealing forthrightly with our differences. Despite strains in the relationship resulting from the tragic accidental bombing of the PRC embassy in Belgrade, we have continued to engage China on these issues. 
THE WHITE HOUSE 
",X,,,,"Cooperation - ""A stable, open, prosperous Peoples Republic of China (PRC) that respects international norms and assumes its responsibilities for building a more peaceful world is clearly and profoundly in our interests."""
USA,2010,NA,CHINA,"We will continue to pursue a positive, constructive, and comprehensive relationship with China. We welcome a China that takes on a responsible leadership role in working with the United States and the international community to advance priorities like economic recovery, confronting climate change, and nonproliferation. We will monitor China’s military modernization program and prepare accordingly to ensure that U.S. interests and allies, regionally and globally, are not negatively affected. More broadly, we will encourage China to make choices that contribute to peace, security, and prosperity as its influence rises. We are using our newly established Strategic and Economic Dialogue to address a broader range of issues, and improve communication between our militaries in order to reduce mistrust. We will encourage continued reduction in tension between the People’s Republic of China and Taiwan. We will not agree on every issue, and we will be candid on our human rights concerns and areas where we differ. But disagreements should not prevent cooperation on issues of mutual interest, because a pragmatic and effective relationship between the United States and China is essential to address the major challenges of the 21st century.",X,,,,Desire to cooperate
USA,2022,NA,CHINA," We have an abiding interest in maintaining peace and stability across the Taiwan Strait, which is critical to regional and global security and prosperity and a matter of international concern and attention. We oppose any unilateral changes to the status quo from either side, and do not support Taiwan independence. We remain committed to our one China policy, which is guided by the Taiwan Relations Act, the Three Joint Communiques, and the Six Assurances. And we will uphold our commitments under the Taiwan Relations Act to support Taiwan’s self-defense and to maintain our capacity to resist any resort to force or coercion against Taiwan. 

",,,X,,Neutral stance
USA,2006,NA,CHINA,"Ultimately, China’s leaders must see that they cannot let their population increasingly experience the freedoms to buy, sell, and produce, while denying them the rights to assemble, speak, and worship.  Only by allowing the Chinese people to enjoy these basic freedoms and universal rights can China honor its own constitution and international commitments and reach its full potential.  Our strategy seeks to encourage China to make the right strategic choices for its people, while we hedge against other possibilities. 
VIII. 	Develop Agendas for Cooperative Action with the Other Main Centers of Global  Power ............................................................................................................................... 35",X,,,,Openness to cooperate. SAME OBSERVATION AT ROW 69
Canada,2005,NA,CHINA,"At the same time, we recognize that emerging giants, such as China, India and Brazil, are already making their presence felt. Their growing influence— particularly in the economic realm—carries significant implications for Canada. Our economy is currently the 12th largest in the world, but remains smaller than those of Brazil, Korea, India and Italy. Our defence spending, relative to gross domestic product (GDP), has fallen below that of such countries as Norway, Sweden, the Netherlands and Australia, and our development assistance now accounts for only 3 percent of the global 
MAKING A DIFFERENCE",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
USA,2011,NA,CHINA," Prosperity and Security – The United States will remain the foremost economic and military power for the foreseeable future, though national debt poses a significant national security risk. Asia will increase its regional share of global wealth. Though it faces a number of domestic challenges, continuation of China’s decades-long economic growth is expected to facilitate its continued military modernization and expansion of its interests within and beyond the region. Other states in Asia, too, are becoming more militarily capable as they grow more prosperous. NATO will remain the most powerful military alliance, though some of its states are reducing defense spending as part of broader austerity measures. These reductions may impact partner nations’ contributions to our collective security. Energy-state relationships will intersect geopolitical concerns as state-run companies will control an increasing share of the world's hydrocarbon resources and the persistent challenge of resource scarcity may overlap with territorial disputes. 

",,,X,,Neutral
Canada,2005,NA,CHINA,"Thus, on March 23, President Bush, President Fox and I signed the Security and Prosperity Partnership of North America that establishes the way forward on our continental agenda for security, prosperity and quality of life. It is a partnership that respects the past but is devoted to building for the future, to ensuring that we as North Americans are able to continue to thrive in a world in which China and India have emerged as economic giants.",,,X,,Neutral
USA,2022,NA,CHINA,"While we have profound differences with the Chinese Communist Party and the Chinese Government, those differences are between governments and systems – not between our people. Ties of family and friendship continue to connect the American and the Chinese people. We deeply respect their achievements, their history, and their culture. Racism and hate have no place in a nation built by generations of immigrants to fulfill the promise of opportunity for all. And we intend to work together to solve issues that matter most to the people of both countries. 
October 12, 2022",X,,,,"""we intend to work together to solve issues that matter most to the people of both countries."" "
Canada,2005,NA,CHINA," While the U.S. remains our most important market, Canada will step up its engagement with other mature nations, as well as with those that today are emerging as the global titans of tomorrow. That’s why we signed a science and technology agreement with India and launched discussions on new economic frameworks with Japan and Korea. That’s why we will undertake market access negotiations with Mercosur in the context of the Free Trade Area of the Americas. And that’s why we are pursuing major opportunities with China in tourism, technology and resources, where our expertise and other value-added capabilities make us a formidable global player. The International Policy Statement sets out in more detail what we have done and what we will do to strengthen our commercial relationships with key partners. This is a crucial opportunity and we will not let it pass us by. 

",X,,,,Pursuing cooperation with China in different sectors
USA,2017,NA,CHINA," China presents its ambitions as mutually beneficial,
Nearly one year later, although serious challenges remain, we are charting a new and very di erent course.
",,,X,,Not enough info
India,2003,SA,CHINA,"visited the UK in July 2003, Myanmar in September 2003, France in October 2003, Vietnam in December 2003 and Thailand in March 2004 on bilateral visits; to Russia and Canada in connection with activities of the Indian Navy in June 2003, and to Singapore in November 2003 to attend the Singapore Maritime Defence Exhibition, IMDEX. The Chief of Air Staff undertook bilateral visits to Algeria in March 2003, Maldives in July 2003, South Africa in August 2003, Russia in October 2003 and Bangladesh in February 2004. He also attended the Latin American Defentec Exhibition and Air Show at Rio de Janeiro in April 2003, participated in the Global Air Chiefs Conference in the US in September 2003 and presided over the major IAF participation at the Singapore Air Show in February 2004. The Chief of Army Staff visited Bhutan in March 2003, Nepal in April 2003, Russia in June 2003 and Singapore and Philippines in September-October 2003, Botswana and South Africa in February 2004 and the US in March 2004. Vice-Chief of Army accompanied Raksha Mantri to China in April 2003, and visited South Africa and Botswana in July 2003 and Malaysia and Indonesia in March 2004. 
‘Tejas’ the world’s smallest light weight multi-role aircraft designed by DRDO to meet the demands of Indian Air Force, has sucessfully completed 200 flight tests.",,,X,,Not enough info
India,2018,SA,CHINA,"•	 April 13, 2018: ‘Using China’s Pre-1949 Official/Authoritative Documents to Examine PRC’s Claim of Sovereignty over Tibet’ by Chair Professor at the City University of Hong Kong. 
17. Empowerment and Welfare of Women 229",,,X,,Not relevant
India,2017,SA,CHINA,"1.13 Though events in 2017 added to the complexities in India-China relations, the strategic dialogue between India and China continued under the overall context of a developmental partnership, which also helped in peaceful disengagement of border personnel of India and China at the face-off site in the Doklam region. Both sides recognized that ensuring peace and tranquillity in the India-China border areas is an essential pre-requisite to the development of bilateral relations. They agreed that progress in bilateral relations should be guided by the consensus reached between their leaders that at a time of stability and India and China, in their relationship, must not allow differences to become disputes. 
GOVERNMENT OF INDIA",X,,,,Cooperation
India,2005,SA,CHINA," training activities etc. Some important films in the collection are Battle of Britain, Battle of Russia, Battle of China, Desert Victory, Japanese Surrender, Nazis Strikes, Burma Campaign, Churchil the Man and London Victory Parade. 
is looking to park its
",,,X,,Not relevant
India,2002,SA,CHINA,"9.47 	Courses : Arabic, Bhasa Indonesia, Burmese, Chinese, French, German, Persian, Pushto, Russian, Spanish, Sinhala and Tibetan languages are taught on regular basis at the SFL. It offers the following courses:­
1. Security Environment .............................................................................................................................................................. 1",,,X,,List of languages courses
India,2019,SA,CHINA,"a) IN ships Kolkata and Shakti participated in the Eastern Fleet OSD 01/19 from April 3 – May 31, 2019. During the Overseas Deployment (OSD) the ships visited Cam Rahn Bay (Vietnam), Qingdao (China), Busan (South Korea) and Singapore. 
DEPARTMENTS AND ORGANISATIONS UNDER MINISTRY OF DEFENCE",,,X,,Not relevant
India,2019,SA,CHINA," Unfortunately, this recommendation of the GoM remains unimplemented for the LAC. The Indo-Tibetan Border Police, (ITBP) is technically responsible for this border, although it is the army that primarily responds to all border incidents and takes the lead in holding meetings and discussions with Chinese troops to resolve any dispute. Two forces operating under different ministries along an unsettled border is not a recipe for success. The best resolution of this issue is to place the ITBP under the command of the army. 

",,,X,,Not enough info
India,2001,SA,CHINA,"1.15 	China's relations with India have shown improvement in the year 2001-2002. During the visit of the Chinese Premier, Mr. .hu Rongji to India from January 13­18, 2002, both sides have again reiterated their willingness to develop friendly and cooperative relations on the basis of Panchsheel. 
4. Indian Navy 34",X,,,,Improvements in their relations
India,2019,SA,CHINA," Relations with China must be calibrated with care, based on the principle of reciprocity. The border dispute must be resolved through political will, based on technical discussions that have taken place between the two countries so far. India must seek greater participation in China’s services economy and negotiate the early removal of non-tariff barriers to exports of Indian products. 
TABLE OF CONTENTS 
",X,,,,Desire to cooperate and resolve issues
India,2014,SA,CHINA,"3.17 Situation Along the Line of Actual Control (LAC): The situation along India-China border continues to be peaceful. There are few areas along the border where India and China have differing perception of the LAC. Both sides patrol upto their respective perceptions of LAC. Specific cases of transgression by Chinese patrols into such areas across LAC are taken up with Chinese authorities through the established mechanism of Hot Lines, Flag Meetings and Border Personnel Meetings. 
3. Indian Army 19",,,X,,Not enough info
India,2001,SA,CHINA,"1.11 	India is fully committed to maintaining peace and stability with its neighbours through a continuous process of confidence building and substantive dialogue to expand the scope of bilateral interactions. CBMs or other means of formalising restraint have to be tailor-made to specific situations and have to be multi­dimensional, encompassing political, military, economic and cultural aspects. India's approach to confidence building has unilateral, bilateral and regional aspects. Examples of unilateral restraint practised by India include a defensive orientation of its defence policy and force postures; strict control over defence budgets; and, in the nuclear field, commitment to no-first-use, moratorium on nuclear testing, minimum credible nuclear deterrence, and the rejection of an arms race or concepts and postures from the Cold War era.   Bilateral formalization of restraint has taken place both in the India-Pakistan as well as the India-China contexts.",X,,,,"""India is fully committed to maintaining peace and stability with its neighbours through a continuous process of confidence building and substantive dialogue to expand the scope of bilateral interactions"""
India,2019,SA,CHINA,"The situation along LAC in 2019 has been largely peaceful, albeit with isolated instances of aggressive behaviour and unilateral activities by the Chinese side in disputed / sensitive areas. The Western Sector (Eastern Ladakh) has been comparatively more active due to differing perception of the LAC. 
Defence Research and Development ................................................................................. 147 Resettlement and Welfare of Ex-Servicemen ..................................................................... 159 Empowerment & Welfare of women .................................................................................... 169",,,X,,Not enough info
Maldives,2012,SA,CHINA,"111.	Since energy is vital in influencing the geo-political strategies of a nation, any disruption to its supply has severe security consequences.  Given the escalating demand for energy from economic powerhouses such as India and China, it is certain that these countries are highly sensitive to the security of the Sea Lines of Communication (SLOCs) and choke points of the region. The 8 degree channel located just north of Maldives, one and half degree channel, equatorial channel and south Addu channel are the main Sea Line of Communications through Indian Ocean which lies within the Maldivian waters.",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
India,2006,SA,CHINA," expected to serve as an instrument for a regular and sustained dialogue on defence issues between the two countries. Peace and tranquillity continued along the long India-China border as did differences in perception with regard to the boundary issue. 

",X,,,,
India,2008,SA,CHINA,"(vi) 	China outsourcing office of BEML Ltd. at Shanghai commenced its operations from April 2008 to concentrate on outsourcing and marketing of high end mining equipment.",,,X,,Irrelevant
India,2001,SA,CHINA,"championship from August 24-26, 2001 Rect Kunj Kishore Singh (ASC)  9.64During this year there are 22 films under various stage of production. So far 10 films  9.6.  The language taught at the SFL are : Arabic, Bhasa Indonesia, Burmese, Chinese,  
NATIONAL SECURITY OBJECTIVES",,,X,,Irrelevant
India,2000,SA,CHINA,"India’s Relations with Bangladesh, Bhutan, Nepal, Sri Lanka, by Ms. Padmaja Mu r thy, published by  2.  Future Challenges and Role of ASEAN  16.  Russia’s China Policy after the Cold War : Relevance for India  
Securing the country against restric­tions on the transfer of material, equipment and technologies that have a bearing on India’s security, particu­larly its defence preparedness. This involves a greater emphasis on indig­enous research, development and pro­duction to meet the nation’s require­ments.",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
India,2005,SA,CHINA,"1..12 Defence cooperation between India and Singapore has grown considerably in the recent times. A joint naval exercise hosted by the Singapore Navy, was held in the South China Sea from February 26-March 2, 2005. While the two countries have held joint naval exercises for over a decade, the first joint air exercise was held in October 200. and the second air exercise was held in January 2006. The first-ever joint army exercise involving armour and artillery was held in India in March 2005. The Defence Minister of Singapore visited during this period to witness the exercise. With Republic of Korea, India signed an MOU on Defence Industry and Logistics Cooperation in September 2005 during the visit of Mr. Young Hwan Lee, Deputy Minister for Acquisition, Ministry of National Defence of ROK. Indian Coast Guard ship ""Samar"" paid a visit to ROK from November 21-2., 2005 and held joint exercises with the Korean Coast Guard (KCG) at the port of Busan. This was the first joint exercise between the two countries and its successful conclusion was considered the first in expanding cooperation between the two Coast Guards. With Mongolia, the second Indo-Mongolian Joint Exercise was held in December 2005 at Vairangte, which was witnessed by the visiting Mongolian Defence Minister H.E. Mr. Ts. Saravdorj. The Mongolian Defence Minister met with Raksha Mantri and other senior officials. During these interactions both sides emphasized the need for enhancing the defence cooperation between the two countries. Both sides agreed to establish a Joint Working Committee on Defence Cooperation, which will meet in early 2006 to work out practical means to further defence cooperation projects.",,,X,,South CHINA Sea
India,2019,SA,CHINA," The rise of nationalism in politics is being witnessed across the world and is reflected in election results in diverse countries. These include major powers such as the US, Russia, France, and China. The nationalist sentiment is geared to prevent a perceived erosion of national identity and is strongest in homogenous societies. However, nationalism in pluralistic societies has also become an important political factor, which often uses economic issues for political purposes. There is an inherent confrontation between the policy of insulation and protectionism, spearheaded by nationalism, and the policy of integration and expansion, represented by globalisation. 
Each period in history comes with its unique set of challenges. We have attempted to suggest solutions to the security risks that India faces today. We do not seek to dissect history and dig into past missteps. We look to the future to see how it could be shaped to build a safer and more prosperous India. 
",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
India,2011,SA,CHINA,"9.56 The languages taught on regular basis at the SFL are: Arabic, Bhasa Indonesia, Burmese, Chinese, French, German, Persian, Russian, Spanish, Tibetan, Japanese and the short term courses in Pak Urdu, Malay, Hebrew and Turkish etc. 
1. Security Environment 	1",,,X,,List of languages courses
India,2019,SA,CHINA," As China grows more powerful, its relationship with the US is becoming more tense. The US is in a trade war with China to lower tariffs on US exports and on alleged violations of US intellectual property rights. At the regional level, the US has unveiled an “Indo-Pacific” strategy spearheaded by its Indo-Pacific Command (earlier Pacific Command) based in Hawaii. The objective of this strategy is to contain China in East and Southeast Asia. 
PREFACE 
",,,X,,Not related to India-China. Neutral statements.
Pakistan,2018,SA,CHINA,"59.Efforts will be made in coordination with provincial government and other stakeholders to develop a plan for phased conversion of ‘B’ areas in Balochistan to ‘A’ areas. This is particularly needed along China-Pakistan Economic Corridor in the short term.   
2018-2023",,,X,,"Not enough info, the text is fragmented"
India,2006,SA,CHINA,"1.13 China’s military modernisation, with sustained double-digit growth in its defence budget for over a decade and continued upgradation of its nuclear and missile assets, development of infrastructure in the India-China border areas and its growing defence links with some of India’s neighbours continue to be monitored closely. The Chinese assistance to Pakistan’s nuclear and missile programme has been a matter of concern as it has adversely impacted on India’s national security environment. We have also taken note of the recent destruction by China of one of its own satellites in polar orbit through direct ascent anti-satellite test. 
CONTENTS",,X,,,China as a threat
India,2014,SA,CHINA,"4.16 SIMBEX–14: Singapore India Maritime Bilateral Exercise (SIMBEX) is held in March-April each year, alternately in the Bay of Bengal and the South China Sea. SIMBEX-14 was held in the Andaman Sea in May 2014 with the Singapore Navy. 
5. Indian Air Force 39",,,X,,South CHINA Sea
India,1999,SA,CHINA,"Chinese Armed 	Dr Srikanth Kondapalli Forces: a Fifty- Year Assessment and Future Projection 
1.2 	Consequent to OP Vijay, the Army has been focussing on a strong counter infiltration posture along the LOC and synergised anti-militant operations in the hinterland. In the aftermath of OP Vijay, Pakistan has attempted to escalate the proxy war against India. The militants, specially mercenaries, have in the last few months launched a number of desperate attacks against isolated Army posts. Our security forces have remained vigilant in countering these efforts. Despite threats to carry out spectacular acts of terrorism to avenge the Kargil debacle, the militancy has been effectively checked by the increased tempo of operations by the Armed Forces. It may be mentioned that the key characteristic of the present day militancy is the overwhelmingly dependence on alien mercenaries, who now form well over 70% of those engaged in militancy in Jammu & Kashmir.",,,X,,Not related to India-China.
India,2019,SA,CHINA,"China’s stance on terrorism emanating from Pakistan has not only been disappointing but strikes at the heart of India’s national security. This must be conveyed in clear terms in all our dealings with the Chinese government. China’s acceptance of this concern will strengthen relations between the two countries. 
The North East 19",,X,,,"Border case, open to discuss with China but concerned"
India,2008,SA,CHINA," Security. Prominent among these were Seminars on ‘Indian Way of War Fighting’ and ‘Indian Experience in Force Projection’ and round table discussions on ‘India China Security Dynamics’ and ‘Perspective on Central Asia and Implications for India’. Seminal work has been carried out in a study on Evolution of Joint Framework for National Security Decision Making. 
Ministry of Defence 
",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
India,2003,SA,CHINA,"4.25 China: On completion of the port-call to Shanghai, IN Ships Ranjit and Kulish carried out a Search and Rescue exercise (SAREX) with the ships of the Chinese Navy, off Shanghai, on  November 14, 2003. From the Chinese side, PLA (N) ships Jiaxing (Frigate with integral helicopter) and tanker Panyang Hu participated.",,,X,,The text is not explicitly related to India-China
